Genus_Species_Steenwyk2018	Genus_Species_Shen2018	Genus_Species_Shen2016	Strain_Peter2018
Aspergillus_sydowii	Kazachstania_bromeliacearum	Nakaseomyces_castellii	CGN
Aspergillus_versicolor	Kazachstania_intestinalis	Nakaseomyces_bacillisporus	CGI
Aspergillus_calidoustus	Kazachstania_martiniae	Candida_glabrata	CEV
Aspergillus_ustus	Kazachstania_africana	Nakaseomyces_bracarensis	AEP
Aspergillus_rambellii	Kazachstania_viticola	Nakaseomyces_delphensis	AGG
Aspergillus_steynii	Kazachstania_turicensis	Nakaseomyces_nivariensis	AFH
Aspergillus_westerdijkiae	Kazachstania_kunashirensis	Saccharomyces_arboricola	CGL
Aspergillus_persii	Kazachstania_spencerorum	Saccharomyces_kudriavzevii	AHQ
Aspergillus_sclerotiorum	Kazachstania_rosinii	Saccharomyces_mikatae	CQR
Aspergillus_flavus	Saccharomyces_paradoxus	Saccharomyces_paradoxus	CQQ
Aspergillus_oryzae	Saccharomyces_cerevisiae	Saccharomyces_cerevisiae	CLK
Aspergillus_arachidicola	Saccharomyces_mikatae	Saccharomyces_uvarum	CLV
Aspergillus_parasiticus	Saccharomyces_kudriavzevii	Saccharomyces_eubayanus	AVL
Aspergillus_sojae	Saccharomyces_arboricola	Tetrapisispora_blattae	CMB
Aspergillus_nomius	Saccharomyces_uvarum	Vanderwaltozyma_polyspora	CMM
Aspergillus_bombycis	Saccharomyces_eubayanus	Tetrapisispora_phaffii	CML
	Nakaseomyces_nivariensis	Torulaspora_delbrueckii	CLR
	Nakaseomyces_delphensis	Zygosaccharomyces_bailii	CLL
	Nakaseomyces_bracarensis	Zygosaccharomyces_rouxii	CME
	Candida_glabrata		CLS
	Nakaseomyces_bacillisporus		CLT
	Nakaseomyces_castellii		AVM
	Tetrapisispora_namnaonensis		AVD
	Tetrapisispora_fleetii		APE
	Tetrapisispora_phaffii		APF
	Tetrapisispora_iriomotensis		CMC
	Vanderwaltozyma_polyspora		CLP
	Tetrapisispora_blattae		CMD
	Yueomyces_sinensis		AVC
	Hanseniaspora_singularis		APD
	Hanseniaspora_valbyensis		APC
	Kloeckera_hatyaiensis		CMN
	Hanseniaspora_uvarum		CLM
	Hanseniaspora_clermontiae		AQN
	Hanseniaspora_pseudoguilliermondii		ANS
	Hanseniaspora_osmophila		AAD
	Hanseniaspora_vinae		CMI
